,Tarih,Yil,Ay,Gun,ID,genel_renkli,genel_sb,dijital_islemler,toplam
224,2025-03-01,2025,3,1,dcolor,0,4,0,4
225,2025-03-01,2025,3,1,hbinay,30,0,0,30
226,2025-03-01,2025,3,1,herbilgin,1,0,0,1
227,2025-03-01,2025,3,1,zyuksel,0,0,8,8
228,2025-03-01,2025,3,1,aayhan,5,7,1,13
229,2025-03-01,2025,3,1,udalyan,1,0,0,1
230,2025-03-02,2025,3,2,dcolor,1,0,0,1
231,2025-03-02,2025,3,2,mbayirli,10,1,0,11
232,2025-03-02,2025,3,2,egonce,23,14,0,37
233,2025-03-02,2025,3,2,mkarsiv,1,0,0,1
234,2025-03-02,2025,3,2,fcolak,14,0,0,14
235,2025-03-02,2025,3,2,bbugdayci,3,7,0,10
236,2025-03-02,2025,3,2,ebadem,6,0,0,6
237,2025-03-02,2025,3,2,ierdil,10,9,0,19
238,2025-03-02,2025,3,2,fgulsever,87,1,0,88
239,2025-03-02,2025,3,2,carican,1,6,0,7
240,2025-03-02,2025,3,2,aapak,12,1,0,13
241,2025-03-02,2025,3,2,ubasdas,5,0,0,5
242,2025-03-02,2025,3,2,gekim,0,160,0,160
243,2025-03-02,2025,3,2,dnoic,47,1,0,48
244,2025-03-02,2025,3,2,mkorucu,1,0,0,1
245,2025-03-02,2025,3,2,bsamuk,3,0,0,3
246,2025-03-02,2025,3,2,dustasi,10,0,0,10
247,2025-03-02,2025,3,2,abarkod,6,0,0,6
248,2025-03-02,2025,3,2,BSOGUT,2,0,0,2
249,2025-03-03,2025,3,3,aildeniz,4,1,0,5
250,2025-03-03,2025,3,3,ierdil,0,5,0,5
251,2025-03-03,2025,3,3,mguder,11,0,0,11
252,2025-03-03,2025,3,3,itopcu,1,0,0,1
253,2025-03-03,2025,3,3,fgulsever,7,7,0,14
254,2025-03-03,2025,3,3,udalyan,0,1,1,2
255,2025-03-03,2025,3,3,hakand,3,1,2,6
256,2025-03-03,2025,3,3,mecigdem,0,3,0,3
257,2025-03-03,2025,3,3,bbugdayci,19,1,18,38
258,2025-03-03,2025,3,3,aapak,0,79,0,79
259,2025-03-03,2025,3,3,dayakta,11,5,0,16
260,2025-03-03,2025,3,3,ubasdas,1,0,0,1
261,2025-03-03,2025,3,3,BSOGUT,0,4,0,4
262,2025-03-03,2025,3,3,stjegitim,5,1,1,7
263,2025-03-03,2025,3,3,hakdemir,7,2,0,9
264,2025-03-03,2025,3,3,egonce,17,0,0,17
265,2025-03-03,2025,3,3,herbilgin,17,0,0,17
266,2025-03-03,2025,3,3,mbayirli,13,0,0,13
267,2025-03-03,2025,3,3,hbinay,7,1,0,8
268,2025-03-03,2025,3,3,sapra,2,0,0,2
269,2025-03-03,2025,3,3,eozkan,7,0,0,7
270,2025-03-03,2025,3,3,dcolor,0,22,0,22
271,2025-03-03,2025,3,3,ekoksal,5,3,0,8
272,2025-03-03,2025,3,3,ersener,6,0,0,6
273,2025-03-03,2025,3,3,hbulut,19,1,0,20
274,2025-03-03,2025,3,3,bfirat,23,7,0,30
275,2025-03-03,2025,3,3,VBAYANER,0,24,0,24
276,2025-03-03,2025,3,3,gakca,4,3,0,7
277,2025-03-03,2025,3,3,fcolak,0,44,0,44
278,2025-03-03,2025,3,3,adogan,14,0,0,14
279,2025-03-03,2025,3,3,ihasdemir,7,0,0,7
280,2025-03-03,2025,3,3,bsakrak,25,0,0,25
281,2025-03-03,2025,3,3,akamera,44,5,0,49
282,2025-03-03,2025,3,3,abarkod,1,0,0,1
283,2025-03-03,2025,3,3,vgemici,1,0,0,1
284,2025-03-03,2025,3,3,tcapkin,0,1,0,1
285,2025-03-03,2025,3,3,ntanriverdi,0,30,0,30
286,2025-03-03,2025,3,3,asablon,1,0,0,1
287,2025-03-03,2025,3,3,cer,20,0,0,20
288,2025-03-03,2025,3,3,aayhan,0,0,3,4
