,ID,toplam,Tarih,Donem,genel_renkli,genel_sb,dijital_islemler
224,dcolor,4,2025-03-01,2025-03,0,4,0
225,hbinay,30,2025-03-01,2025-03,30,0,0
226,herbilgin,1,2025-03-01,2025-03,1,0,0
227,zyuksel,8,2025-03-01,2025-03,0,0,8
228,aayhan,13,2025-03-01,2025-03,5,7,1
229,udalyan,1,2025-03-01,2025-03,1,0,0
230,dcolor,1,2025-03-02,2025-03,1,0,0
231,mbayirli,11,2025-03-02,2025-03,10,1,0
232,egonce,37,2025-03-02,2025-03,23,14,0
233,mkarsiv,1,2025-03-02,2025-03,1,0,0
234,fcolak,14,2025-03-02,2025-03,14,0,0
235,bbugdayci,10,2025-03-02,2025-03,3,7,0
236,ebadem,6,2025-03-02,2025-03,6,0,0
237,ierdil,19,2025-03-02,2025-03,10,9,0
238,fgulsever,88,2025-03-02,2025-03,87,1,0
239,carican,7,2025-03-02,2025-03,1,6,0
240,aapak,13,2025-03-02,2025-03,12,1,0
241,ubasdas,5,2025-03-02,2025-03,5,0,0
242,gekim,160,2025-03-02,2025-03,0,160,0
243,dnoic,48,2025-03-02,2025-03,47,1,0
244,mkorucu,1,2025-03-02,2025-03,1,0,0
245,bsamuk,3,2025-03-02,2025-03,3,0,0
246,dustasi,10,2025-03-02,2025-03,10,0,0
247,abarkod,6,2025-03-02,2025-03,6,0,0
248,BSOGUT,2,2025-03-02,2025-03,2,0,0
249,aildeniz,5,2025-03-03,2025-03,4,1,0
250,ierdil,5,2025-03-03,2025-03,0,5,0
251,mguder,11,2025-03-03,2025-03,11,0,0
252,itopcu,1,2025-03-03,2025-03,1,0,0
253,fgulsever,14,2025-03-03,2025-03,7,7,0
254,udalyan,2,2025-03-03,2025-03,0,1,1
255,hakand,6,2025-03-03,2025-03,3,1,2
256,mecigdem,3,2025-03-03,2025-03,0,3,0
257,bbugdayci,38,2025-03-03,2025-03,19,1,18
258,aapak,79,2025-03-03,2025-03,0,79,0
259,dayakta,16,2025-03-03,2025-03,11,5,0
260,ubasdas,1,2025-03-03,2025-03,1,0,0
261,BSOGUT,4,2025-03-03,2025-03,0,4,0
262,stjegitim,7,2025-03-03,2025-03,5,1,1
263,hakdemir,9,2025-03-03,2025-03,7,2,0
264,egonce,17,2025-03-03,2025-03,17,0,0
265,herbilgin,17,2025-03-03,2025-03,17,0,0
266,mbayirli,13,2025-03-03,2025-03,13,0,0
267,hbinay,8,2025-03-03,2025-03,7,1,0
268,sapra,2,2025-03-03,2025-03,2,0,0
269,eozkan,7,2025-03-03,2025-03,7,0,0
270,dcolor,22,2025-03-03,2025-03,0,22,0
271,ekoksal,8,2025-03-03,2025-03,5,3,0
272,ersener,6,2025-03-03,2025-03,6,0,0
273,hbulut,20,2025-03-03,2025-03,19,1,0
274,bfirat,30,2025-03-03,2025-03,23,7,0
275,VBAYANER,24,2025-03-03,2025-03,0,24,0
276,gakca,7,2025-03-03,2025-03,4,3,0
277,fcolak,44,2025-03-03,2025-03,0,44,0
278,adogan,14,2025-03-03,2025-03,14,0,0
279,ihasdemir,7,2025-03-03,2025-03,7,0,0
280,bsakrak,25,2025-03-03,2025-03,25,0,0
281,akamera,49,2025-03-03,2025-03,44,5,0
282,abarkod,1,2025-03-03,2025-03,1,0,0
283,vgemici,1,2025-03-03,2025-03,1,0,0
284,tcapkin,1,2025-03-03,2025-03,0,1,0
285,ntanriverdi,30,2025-03-03,2025-03,0,30,0
286,asablon,1,2025-03-03,2025-03,1,0,0
287,cer,20,2025-03-03,2025-03,20,0,0
288,aayhan,4,2025-03-03,2025-03,0,0,3
289,mkarabiyik,18,2025-03-03,2025-03,0,18,0
290,obali,4,2025-03-03,2025-03,1,3,0
291,fimetin,1,2025-03-03,2025-03,0,1,0
292,gkenarli,9,2025-03-03,2025-03,6,3,0
293,ggirgin,78,2025-03-03,2025-03,61,17,0
294,ekaradavut,1,2025-03-03,2025-03,1,0,0
295,ngogce,96,2025-03-03,2025-03,52,40,4
296,saskin,21,2025-03-03,2025-03,21,0,0
297,gekim,139,2025-03-03,2025-03,0,139,0
298,gbakanoglu,20,2025-03-03,2025-03,10,10,0
299,aozbal,1,2025-03-03,2025-03,1,0,0
300,amasun,11,2025-03-03,2025-03,11,0,0
301,mertan,1,2025-03-03,2025-03,1,0,0
302,dnoic,7,2025-03-03,2025-03,7,0,0
303,ebalaban,22,2025-03-03,2025-03,22,0,0
304,ogungor,2,2025-03-03,2025-03,0,2,0
305,gayilmaz,10,2025-03-03,2025-03,10,0,0
306,stjncakirci,5,2025-03-03,2025-03,3,2,0
307,eulsever,10,2025-03-03,2025-03,0,10,0
308,tevirgen,21,2025-03-03,2025-03,20,1,0
309,ayyilmaz,3,2025-03-03,2025-03,3,0,0
310,oicoz,18,2025-03-03,2025-03,18,0,0
311,ierdil,7,2025-03-04,2025-03,7,0,0
312, modified by system 2025-04-29 10:29:20 4,41,2025-03-04,2025-03,38,3,0
313,zyuksel,2,2025-03-04,2025-03,0,0,2
314,gsapmaz,4,2025-03-04,2025-03,4,0,0
315,baozturk,2,2025-03-04,2025-03,2,0,0
316,udalyan,101,2025-03-04,2025-03,51,0,50
317,fgulsever,31,2025-03-04,2025-03,0,31,0
318,esaribuyuk,4,2025-03-04,2025-03,0,4,0
319,hakand,87,2025-03-04,2025-03,65,22,0
320,mecigdem,2,2025-03-04,2025-03,0,2,0
321,kbtlideri,1,2025-03-04,2025-03,1,0,0
322,itopcu,7,2025-03-04,2025-03,7,0,0
323,ebadem,3,2025-03-04,2025-03,2,1,0
324,eozkan,3,2025-03-04,2025-03,3,0,0
325,mkarsiv,1,2025-03-04,2025-03,1,0,0
326,egonce,19,2025-03-04,2025-03,13,6,0
327,mbayirli,11,2025-03-04,2025-03,0,11,0
328,hbinay,9,2025-03-04,2025-03,9,0,0
329,tcakan,1,2025-03-04,2025-03,1,0,0
330,hkaragoz,3,2025-03-04,2025-03,3,0,0
331,dcolor,27,2025-03-04,2025-03,0,27,0
332,ekoksal,2,2025-03-04,2025-03,0,2,0
333,ersener,8,2025-03-04,2025-03,2,6,0
334,hbulut,15,2025-03-04,2025-03,15,0,0
335,bfirat,2,2025-03-04,2025-03,2,0,0
336,bunver,3,2025-03-04,2025-03,3,0,0
337,aapak,39,2025-03-04,2025-03,0,39,0
338,stjegitim,3,2025-03-04,2025-03,2,0,1
339,dayakta,7,2025-03-04,2025-03,7,0,0
340,herbilgin,10,2025-03-04,2025-03,10,0,0
341,ESERT,16,2025-03-04,2025-03,16,0,0
342,gakca,7,2025-03-04,2025-03,4,3,0
343,akamera,158,2025-03-04,2025-03,156,2,0
344,ngogce,3,2025-03-04,2025-03,3,0,0
345,abarkod,1,2025-03-04,2025-03,1,0,0
346,ntanriverdi,19,2025-03-04,2025-03,0,19,0
347,gmasistan,7,2025-03-04,2025-03,6,0,1
348,fbasak,4,2025-03-04,2025-03,4,0,0
349,mkofis,2,2025-03-04,2025-03,2,0,0
350,obali,2,2025-03-04,2025-03,0,2,0
351,MMUTLU,9,2025-03-04,2025-03,4,5,0
352,fimetin,5,2025-03-04,2025-03,5,0,0
353,ggirgin,61,2025-03-04,2025-03,54,7,0
354,ekaradavut,2,2025-03-04,2025-03,2,0,0
355,tevirgen,20,2025-03-04,2025-03,0,5,15
356,vgemici,3,2025-03-04,2025-03,2,1,0
357,oasistan,63,2025-03-04,2025-03,41,22,0
358,eulsever,16,2025-03-04,2025-03,0,16,0
359,iunlu,1,2025-03-04,2025-03,1,0,0
360,gekim,99,2025-03-04,2025-03,0,99,0
361,bsakrak,2,2025-03-04,2025-03,2,0,0
362,eanli,3,2025-03-04,2025-03,0,3,0
363,amasun,77,2025-03-04,2025-03,77,0,0
364,SUYILMAZ,1,2025-03-04,2025-03,1,0,0
365,dnoic,5,2025-03-04,2025-03,5,0,0
366,gcevik,1,2025-03-04,2025-03,1,0,0
367,okanat,2,2025-03-04,2025-03,2,0,0
368,ogungor,3,2025-03-04,2025-03,1,2,0
369,gayilmaz,7,2025-03-04,2025-03,7,0,0
370,ebalaban,24,2025-03-04,2025-03,24,0,0
371, modified by system 2025-04-29 10:29:20 4,14,2025-03-05,2025-03,13,1,0
372,aapak,1,2025-03-05,2025-03,0,1,0
373,udalyan,11,2025-03-05,2025-03,4,7,0
374,mecigdem,5,2025-03-05,2025-03,4,1,0
375,BSOGUT,27,2025-03-05,2025-03,27,0,0
376,fgulsever,11,2025-03-05,2025-03,0,11,0
377,itopcu,34,2025-03-05,2025-03,34,0,0
378,mguder,5,2025-03-05,2025-03,5,0,0
379,zyuksel,1,2025-03-05,2025-03,1,0,0
380,rkontrol,19,2025-03-05,2025-03,19,0,0
381,mbayirli,6,2025-03-05,2025-03,0,6,0
382,acelebi,2,2025-03-05,2025-03,2,0,0
383,fcolak,6,2025-03-05,2025-03,6,0,0
384,egonce,10,2025-03-05,2025-03,8,2,0
385,hakdemir,12,2025-03-05,2025-03,9,3,0
386,eozkan,3,2025-03-05,2025-03,3,0,0
387,dcolor,39,2025-03-05,2025-03,0,39,0
388,hbulut,1,2025-03-05,2025-03,1,0,0
389,bfirat,7,2025-03-05,2025-03,7,0,0
390,nakilli,1,2025-03-05,2025-03,1,0,0
391,bunver,1,2025-03-05,2025-03,1,0,0
392,stjegitim,4,2025-03-05,2025-03,4,0,0
393,dayakta,26,2025-03-05,2025-03,15,11,0
394,amasun,36,2025-03-05,2025-03,34,2,0
395,saskin,5,2025-03-05,2025-03,5,0,0
396,gakca,4,2025-03-05,2025-03,3,1,0
397,akamera,94,2025-03-05,2025-03,92,2,0
398,ngogce,32,2025-03-05,2025-03,13,3,16
399,abarkod,24,2025-03-05,2025-03,24,0,0
400,vgemici,2,2025-03-05,2025-03,0,2,0
401,ntanriverdi,5,2025-03-05,2025-03,0,5,0
402,cer,1,2025-03-05,2025-03,0,1,0
403,kesmeray,5,2025-03-05,2025-03,5,0,0
404,fimetin,1,2025-03-05,2025-03,1,0,0
405,gkenarli,8,2025-03-05,2025-03,6,2,0
406,fbasak,20,2025-03-05,2025-03,20,0,0
407,ekaradavut,2,2025-03-05,2025-03,2,0,0
408,ggirgin,10,2025-03-05,2025-03,9,1,0
409,gekim,90,2025-03-05,2025-03,0,90,0
410,ebalaban,25,2025-03-05,2025-03,25,0,0
411,ezyildiz,1,2025-03-05,2025-03,1,0,0
412,dnoic,1,2025-03-05,2025-03,1,0,0
413,iunlu,10,2025-03-05,2025-03,10,0,0
414,ogungor,7,2025-03-05,2025-03,4,3,0
415,oasistan,7,2025-03-05,2025-03,1,6,0
416,tevirgen,1,2025-03-05,2025-03,0,1,0
417,nibolkis,9,2025-03-05,2025-03,9,0,0
418,zyuksel,5,2025-03-06,2025-03,5,0,0
419,ubasdas,2,2025-03-06,2025-03,2,0,0
420,dayakta,1,2025-03-06,2025-03,1,0,0
421,aapak,44,2025-03-06,2025-03,0,44,0
422,bfirat,36,2025-03-06,2025-03,35,1,0
423,udalyan,6,2025-03-06,2025-03,6,0,0
424,hakand,6,2025-03-06,2025-03,1,5,0
425,fgulsever,13,2025-03-06,2025-03,3,10,0
426,itopcu,8,2025-03-06,2025-03,8,0,0
